YYDDD;Month;Day ;Time (UT);SALU MLT;max dB/dt;SME;SYM/H;
;;;;;;;;
17062;Mar;3;10:18;5,7;13,2;1176;-53;
;;;;;;;;
17063;Mar;4;2:04;21,3;11,7;630;-41;
;;;;;;;;
17063;Mar;4;2:33;21,7;6,6;624;-35;
;;;;;;;;
17064;Mar;5;6:07;1,5;11,4;379;-32;
;;;;;;;;
17065;Mar;6;0:34;20;10,4;419;-30;
;;;;;;;;
17065;Mar;6;2:02;21,5;6,9;565;-35;
;;;;;;;;
17066;Mar;7;5:22;0,8;8;354;-30;
;;;;;;;;
17068;Mar;9;0:01;19,5;9,4;611;-30;
;;;;;;;;
17071;Mar;12;3:56;23,4;9;658;-27;
;;;;;;;;
17075;Mar;16;0:55;20,4;6,4;547;-6;
;;;;;;;;
17081;Mar;22;2:04;21,5;12,3;522;-19;
;;;;;;;;
17081;Mar;22;2:48;22,2;16;504;-18;
;;;;;;;;
17082;Mar;23;1:34;21;12,3;323;-29;
;;;;;;;;
17082;Mar;23;2:07;21,6;13,6;642;-34;
;;;;;;;;
17082;Mar;23;5:14;0,6;9;261;-31;
;;;;;;;;
17083;Mar;24;3:28;22,9;7,1;442;-8;
;;;;;;;;
17087;Mar;28;1:41;21,1;10,1;626;-59;
;;;;;;;;
17087;Mar;28;3:03;22,4;12,6;1189;-55;
;;;;;;;;
17088;Mar;29;2:43;22,2;10,7;441;-34;
;;;;;;;;
17088;Mar;29;6:22;1,7;8,4;517;-41;
;;;;;;;;
17089;Mar;30;22:18;17,8;9,2;700;-35;
;;;;;;;;
17090;Mar;31;0:23;19,8;10,4;738;-50;
;;;;;;;;
17090;Mar;31;3:22;22,7;8,6;691;-34;
;;;;;;;;
17090;Mar;31;23:32;19;9,4;401;-34;
;;;;;;;;
17091;Apr;1;0:08;19,6;14,1;345;-18;
;;;;;;;;
17091;Apr;1;0:45;20,2;9,6;475;-19;
;;;;;;;;
17097;Apr;7;1:22;20,8;7,5;401;-17;
;;;;;;;;
17097;Apr;7;4:34;0;10,6;330;-8;
;;;;;;;;
17097;Apr;7;5:05;0,5;10,5;326;-5;
;;;;;;;;
17098;Apr;8;22:28;18,1;7,7;864;-10;
;;;;;;;;
17099;Apr;9;0:54;20,4;9,9;824;-21;
;;;;;;;;
17099;Apr;9;1:23;20,9;6,7;648;-21;
;;;;;;;;
17099;Apr;9;3:07;22,6;6,4;989;-19;
;;;;;;;;
17099;Apr;9;10:19;5,7;7;857;-16;
;;;;;;;;
17102;Apr;12;1:39;21,1;9;389;-5;
;;;;;;;;
17102;Apr;12;1:52;21,3;6,9;420;-7;
;;;;;;;;
17104;Apr;14;1:05;20,6;8;466;-4;
;;;;;;;;
17104;Apr;14;2:31;22;6,8;569;-13;
;;;;;;;;
17104;Apr;14;5:38;1,1;6,1;483;-20;
;;;;;;;;
17110;Apr;20;3:19;22,7;13,1;1049;-29;
;;;;;;;;
17112;Apr;22;2:10;21,6;13,7;837;-29;
;;;;;;;;
17113;Apr;23;4:00;23,4;13,2;636;-30;
;;;;;;;;
17113;Apr;23;21:53;17,4;8,5;759;-38;
;;;;;;;;
17114;Apr;24;0:27;19,9;16;566;-32;
;;;;;;;;
17114;Apr;24;2:33;22;8,5;693;-36;
;;;;;;;;
17115;Apr;25;0:14;19,7;12,7;342;-22;
;;;;;;;;
